line,type,2014_ridership
720,rapid,12903441
51,local,9427143
901,transitway,8742210
204,local,8235007
16,local,8063155
18,local,7453093
207,local,7343611
4,local,7252432
45,local,7162169
40,local,6770883
60,local,6543502
754,rapid,6491453
111,local,6349394
14,local,6324074
2,local,5909630
108,local,5697819
81,local,5646699
30,local,5529031
115,local,5403568
66,local,5119174
210,local,5118318
20,local,5037534
200,local,4891589
212,local,4778353
105,local,4623752
53,local,4577610
206,local,4527578
233,local,4521818
260,local,4288820
33,local,4192107
910,transitway,4178964
180,local,4154874
733,rapid,4150865
70,local,4145414
10,local,4070314
152,local,3983054
28,local,3705873
150,local,3668869
78,local,3624474
757,rapid,3568783
251,local,3540468
704,rapid,3531366
761,rapid,3483855
35,local,3479802
76,local,3323456
163,local,3282738
117,local,3216687
110,local,3087577
217,local,2942282
224,local,2860558
55,local,2832469
603,shuttle,2683991
165,local,2628540
780,rapid,2578291
710,rapid,2489096
90,local,2474832
770,rapid,2383133
190,local,2314004
164,local,2273793
232,local,2260637
94,local,2171803
745,rapid,2095590
234,local,2066104
166,local,1988511
125,local,1888179
705,rapid,1866549
266,local,1836553
92,local,1797478
460,express,1701610
84,local,1667696
62,local,1661501
760,rapid,1641490
230,local,1530104
728,rapid,1476133
205,local,1462689
751,rapid,1327794
794,rapid,1310160
120,local,1273342
130,local,1178113
762,rapid,1148496
750,rapid,1145135
267,local,1115281
487,express,1103569
740,rapid,969573
534,express,969334
246,local,939623
245,local,917367
734,rapid,916522
102,local,895666
270,local,837979
252,local,821578
292,local,819302
167,local,806481
158,local,783250
236,local,778304
741,rapid,767465
605,shuttle,736859
268,local,702971
183,local,684846
344,limited,624494
169,local,597384
155,local,594246
611,shuttle,590571
256,local,575945
243,local,575696
265,local,569348
156,local,564631
71,local,550728
687,shuttle,544482
612,shuttle,524508
550,express,511562
222,local,498973
258,local,492778
176,local,490331
450,express,485422
96,local,473182
161,local,461663
201,local,400497
128,local,391899
485,express,386497
218,local,362199
154,local,299717
209,local,278662
239,local,265272
254,local,260573
127,local,235149
577,express,220471
665,shuttle,212364
685,shuttle,190887
211,local,183372
175,local,178128
625,shuttle,81494
202,local,79316
220,local,77859
442,express,76656
126,local,60901
620,shuttle,59252
177,local,43086
607,shuttle,22459
